municipality_code,municipality_name,county_code,county_name
2031,Rättvik,20,Dalarnas län
2034,Orsa,20,Dalarnas län
2039,Älvdalen,20,Dalarnas län
2061,Smedjebacken,20,Dalarnas län
2062,Mora,20,Dalarnas län
2080,Falun,20,Dalarnas län
2081,Borlänge,20,Dalarnas län
2082,Säter,20,Dalarnas län
2083,Hedemora,20,Dalarnas län
2084,Avesta,20,Dalarnas län
2085,Ludvika,20,Dalarnas län
2101,Ockelbo,21,Gävleborgs län
2104,Hofors,21,Gävleborgs län
2121,Ovanåker,21,Gävleborgs län
2132,Nordanstig,21,Gävleborgs län
2161,Ljusdal,21,Gävleborgs län
2180,Gävle,21,Gävleborgs län
2181,Sandviken,21,Gävleborgs län
2182,Söderhamn,21,Gävleborgs län
2183,Bollnäs,21,Gävleborgs län
2184,Hudiksvall,21,Gävleborgs län
2260,Ånge,22,Västernorrlands län
2262,Timrå,22,Västernorrlands län
2280,Härnösand,22,Västernorrlands län
2281,Sundsvall,22,Västernorrlands län
2282,Kramfors,22,Västernorrlands län
2283,Sollefteå,22,Västernorrlands län
2284,Örnsköldsvik,22,Västernorrlands län
2303,Ragunda,23,Jämtlands län
2305,Bräcke,23,Jämtlands län
2309,Krokom,23,Jämtlands län
2313,Strömsund,23,Jämtlands län
2321,Åre,23,Jämtlands län
2326,Berg,23,Jämtlands län
2361,Härjedalen,23,Jämtlands län
2380,Östersund,23,Jämtlands län
2401,Nordmaling,24,Västerbottens län
2403,Bjurholm,24,Västerbottens län
2404,Vindeln,24,Västerbottens län
2409,Robertsfors,24,Västerbottens län
2417,Norsjö,24,Västerbottens län
2418,Malå,24,Västerbottens län
2421,Storuman,24,Västerbottens län
2422,Sorsele,24,Västerbottens län
2425,Dorotea,24,Västerbottens län
2460,Vännäs,24,Västerbottens län
2462,Vilhelmina,24,Västerbottens län
2463,Åsele,24,Västerbottens län
2480,Umeå,24,Västerbottens län
2481,Lycksele,24,Västerbottens län
2482,Skellefteå,24,Västerbottens län
2505,Arvidsjaur,25,Norrbottens län
2506,Arjeplog,25,Norrbottens län
2510,Jokkmokk,25,Norrbottens län
2513,Överkalix,25,Norrbottens län
2514,Kalix,25,Norrbottens län
2518,Övertorneå,25,Norrbottens län
2521,Pajala,25,Norrbottens län
2523,Gällivare,25,Norrbottens län
2560,Älvsbyn,25,Norrbottens län
2580,Luleå,25,Norrbottens län
2581,Piteå,25,Norrbottens län
2582,Boden,25,Norrbottens län
2583,Haparanda,25,Norrbottens län
2584,Kiruna,25,Norrbottens län
